time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-20 00:00:00+00:00,,,8,3
2024-06-21 00:00:00+00:00,,,31,4
2024-06-22 00:00:00+00:00,,,79,3
2024-06-23 00:00:00+00:00,,,4,1
2024-06-24 00:00:00+00:00,,,48,7
2024-06-25 00:00:00+00:00,,,172,8
2024-06-26 00:00:00+00:00,,,10,5
2024-06-27 00:00:00+00:00,,,19,3
2024-06-28 00:00:00+00:00,,,36,5
2024-06-30 00:00:00+00:00,,,59,1
2024-07-01 00:00:00+00:00,,,17,3
2024-07-02 00:00:00+00:00,,,29,5
