time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-08 00:00:00+00:00,,,11,2
2024-11-09 00:00:00+00:00,,,10,2
2024-11-11 00:00:00+00:00,,,9,2
2024-11-12 00:00:00+00:00,,,1,1
2024-11-13 00:00:00+00:00,,,37,3
2024-11-14 00:00:00+00:00,,,3,2
2024-11-15 00:00:00+00:00,1.0,1.0,10,1
2024-11-17 00:00:00+00:00,,,9,1
2024-11-18 00:00:00+00:00,2.0,2.0,9,1
2024-11-19 00:00:00+00:00,,,69,3
2024-11-20 00:00:00+00:00,,,1,1
