time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-01 00:00:00+00:00,,,7,1
2024-05-02 00:00:00+00:00,,,4,3
2024-05-03 00:00:00+00:00,,,51,3
2024-05-06 00:00:00+00:00,,,13,3
2024-05-07 00:00:00+00:00,,,64,6
2024-05-08 00:00:00+00:00,,,11,4
2024-05-09 00:00:00+00:00,,,5,2
2024-05-10 00:00:00+00:00,,,61,4
2024-05-11 00:00:00+00:00,,,4,1
2024-05-12 00:00:00+00:00,,,2,2
2024-05-13 00:00:00+00:00,,,58,10
2024-05-14 00:00:00+00:00,,,168,6
