time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-08 00:00:00+00:00,,,20,1
2023-01-09 00:00:00+00:00,,,12,4
2023-01-10 00:00:00+00:00,,,49,6
2023-01-11 00:00:00+00:00,,,80,12
2023-01-12 00:00:00+00:00,,,162,11
2023-01-13 00:00:00+00:00,1.0,1.0,146,8
2023-01-14 00:00:00+00:00,,,3,2
2023-01-15 00:00:00+00:00,,,1,1
2023-01-16 00:00:00+00:00,,,73,3
2023-01-17 00:00:00+00:00,,,92,11
2023-01-18 00:00:00+00:00,,,64,3
2023-01-19 00:00:00+00:00,1.0,1.0,72,9
2023-01-20 00:00:00+00:00,,,49,9
2023-01-21 00:00:00+00:00,,,5,3
