time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-06 00:00:00+00:00,0,0,205,7
2026-07-07 00:00:00+00:00,0,0,134,5
2026-07-08 00:00:00+00:00,0,0,49,4
2026-07-09 00:00:00+00:00,0,0,99,7
2026-07-10 00:00:00+00:00,1,1,8,4
2026-07-11 00:00:00+00:00,0,0,10,5
2026-07-12 00:00:00+00:00,0,0,4,4
2026-07-13 00:00:00+00:00,1,1,12,2
2026-07-14 00:00:00+00:00,0,0,20,3
2026-07-15 00:00:00+00:00,0,0,5,2
2026-07-16 00:00:00+00:00,0,0,0,0
2026-07-17 00:00:00+00:00,1,1,3,2
2026-07-18 00:00:00+00:00,0,0,1,1
2026-07-19 00:00:00+00:00,0,0,0,0
